,Recording timestamp,Gaze point X,Gaze point Y
386,4008,854,636
387,4018,853,637
388,4028,851,637
389,4038,852,637
390,4048,852,636
391,4058,852,636
396,4108,849,635
397,4118,849,635
398,4128,849,634
399,4138,849,632
400,4148,849,631
401,4158,850,630
402,4167,851,629
403,4178,851,628
404,4188,851,628
405,4198,851,628
406,4207,851,627
407,4217,851,628
408,4227,852,629
409,4237,851,631
410,4247,852,633
411,4257,852,634
412,4267,851,635
413,4277,851,636
414,4287,851,638
415,4297,851,639
416,4307,851,639
417,4317,851,640
418,4327,851,641
419,4337,851,641
420,4347,849,640
421,4357,848,639
422,4367,848,638
423,4377,846,636
424,4387,844,635
425,4397,843,633
426,4407,841,631
427,4417,839,630
428,4427,837,628
429,4437,836,628
430,4447,836,627
431,4457,835,626
432,4467,834,627
433,4477,832,630
434,4487,832,629
435,4497,831,628
436,4507,830,627
437,4517,829,628
438,4527,829,627
439,4537,828,626
440,4547,828,625
441,4557,828,624
442,4567,828,623
443,4577,827,622
444,4587,827,621
445,4597,826,621
446,4607,826,620
447,4617,827,618
448,4627,826,617
449,4637,827,617
450,4647,828,617
451,4657,827,616
452,4667,827,615
455,4697,828,615
456,4707,828,614
457,4717,829,613
458,4727,829,612
459,4737,830,612
460,4747,831,611
461,4757,831,610
462,4767,831,608
465,4797,831,609
466,4807,831,608
467,4817,832,608
468,4827,833,607
469,4837,833,607
470,4847,833,608
471,4857,833,607
472,4867,833,608
473,4877,833,609
474,4887,834,609
475,4897,835,611
476,4907,835,611
477,4917,835,611
478,4927,835,612
479,4937,835,612
480,4947,834,611
481,4957,834,611
482,4967,835,611
483,4977,834,609
484,4987,833,609
485,4997,832,607
486,5007,832,605
487,5017,831,605
488,5027,831,603
489,5037,830,602
490,5047,830,603
491,5057,830,603
492,5067,830,603
493,5077,830,603
494,5087,831,603
495,5097,831,604
496,5107,831,604
497,5117,832,603
498,5127,832,604
499,5137,832,604
500,5147,832,603
501,5157,831,602
502,5167,832,602
503,5177,832,603
504,5187,832,603
505,5197,832,602
506,5207,832,603
507,5217,832,604
508,5227,832,604
509,5237,833,604
510,5247,834,605
511,5257,834,604
512,5267,835,603
513,5277,835,601
514,5287,836,602
515,5297,837,602
520,5347,837,601
521,5357,838,603
522,5367,839,605
523,5377,840,605
524,5387,840,606
525,5397,840,607
526,5407,839,610
527,5417,839,611
528,5427,838,611
529,5437,836,610
530,5447,835,609
531,5457,834,607
532,5467,833,603
533,5477,832,597
534,5487,830,593
535,5497,829,592
536,5507,828,590
537,5517,828,587
538,5527,828,583
539,5537,828,581
540,5547,829,579
541,5557,828,578
542,5567,828,578
543,5577,829,578
544,5587,829,578
545,5597,830,578
546,5607,832,578
547,5617,832,579
548,5627,832,580
549,5637,832,580
550,5647,832,581
551,5657,833,581
552,5667,834,580
553,5677,834,578
554,5687,834,577
555,5697,834,575
556,5707,834,574
557,5717,834,571
558,5727,834,568
559,5737,834,566
560,5747,835,563
561,5757,834,560
562,5767,834,559
563,5777,836,558
564,5787,836,555
565,5797,837,551
566,5807,838,551
567,5817,840,553
568,5827,843,552
569,5837,845,550
570,5847,847,550
571,5856,848,549
572,5866,851,546
573,5876,853,546
574,5886,854,547
575,5896,855,544
576,5906,855,542
577,5916,856,542
578,5926,857,543
579,5936,857,543
580,5946,858,542
581,5956,858,541
582,5966,857,542
583,5976,857,542
584,5986,857,540
585,5996,856,541
586,6006,856,542
587,6016,856,541
588,6026,856,538
589,6036,856,538
590,6046,856,538
591,6056,856,538
592,6066,856,538
593,6076,857,537
594,6086,857,536
595,6096,857,535
596,6106,856,533
597,6116,856,533
598,6126,856,533
599,6136,855,532
600,6146,853,531
601,6156,852,531
602,6166,851,531
603,6176,849,530
604,6186,847,532
605,6196,845,532
606,6206,843,531
607,6216,840,530
608,6226,838,529
609,6236,835,527
610,6246,833,524
611,6256,831,522
612,6266,829,519
613,6276,827,517
614,6286,825,514
615,6296,824,512
616,6306,823,511
617,6316,823,510
618,6326,823,508
619,6336,823,506
620,6346,823,505
621,6356,824,506
622,6366,827,504
623,6376,832,501
624,6386,833,503
625,6396,834,507
626,6406,836,508
627,6416,837,506
628,6426,837,506
629,6436,837,506
630,6446,838,507
631,6456,838,505
632,6466,837,505
633,6476,838,506
634,6486,839,504
635,6496,839,502
636,6506,838,504
637,6516,839,507
638,6526,840,510
639,6536,840,510
640,6546,839,511
641,6556,841,513
642,6566,843,514
643,6576,842,515
644,6586,842,518
645,6596,842,520
646,6606,842,520
647,6616,843,519
648,6626,843,519
649,6636,842,519
650,6646,843,516
651,6656,841,516
652,6666,840,515
653,6676,839,513
654,6686,837,511
655,6696,835,509
656,6706,833,508
657,6716,831,505
658,6726,828,503
659,6736,827,502
660,6746,825,499
661,6756,823,496
662,6766,822,494
663,6776,821,494
664,6786,820,492
665,6796,819,489
666,6806,818,487
667,6816,818,487
668,6826,819,485
669,6836,818,483
670,6846,820,481
671,6856,824,480
672,6866,824,483
673,6876,827,488
674,6886,827,487
675,6896,827,487
676,6906,828,488
677,6916,830,489
678,6926,831,491
679,6936,832,492
680,6946,834,494
681,6956,834,495
682,6966,834,495
683,6976,833,493
684,6986,831,494
685,6996,831,495
686,7006,831,494
687,7016,830,491
688,7026,829,491
689,7036,828,492
690,7046,827,491
691,7056,827,491
692,7066,828,492
693,7076,828,494
694,7086,828,494
695,7096,828,494
696,7106,828,495
697,7116,829,497
698,7126,829,497
699,7136,829,496
700,7146,830,496
701,7156,830,496
702,7166,828,494
703,7176,828,491
704,7186,828,491
705,7196,827,491
706,7206,825,490
707,7216,824,489
710,7246,823,486
711,7256,822,487
712,7266,820,486
713,7276,819,483
714,7286,819,482
715,7296,818,483
716,7306,817,481
717,7316,818,478
718,7326,818,475
719,7336,818,472
720,7346,819,471
721,7356,820,468
722,7366,821,467
723,7376,822,467
724,7386,822,467
725,7396,824,467
726,7406,825,467
727,7416,825,468
728,7426,825,469
729,7436,826,471
730,7446,826,472
731,7456,826,473
732,7466,826,473
733,7476,826,472
734,7486,827,474
735,7496,827,475
736,7506,828,473
737,7515,828,473
738,7525,828,476
739,7535,828,477
740,7546,828,477
741,7555,829,477
742,7565,829,480
743,7575,829,482
744,7585,829,482
745,7595,828,482
746,7605,828,485
