Recording timestamp,Gaze point X,Gaze point Y
4827,833,607
4837,833,607
4847,833,608
4857,833,607
4867,833,608
4877,833,609
4887,834,609
4897,835,611
4907,835,611
4917,835,611
4927,835,612
4937,835,612
4947,834,611
4957,834,611
4967,835,611
4977,834,609
4987,833,609
4997,832,607
5007,832,605
5017,831,605
5027,831,603
5037,830,602
5047,830,603
5057,830,603
5067,830,603
5077,830,603
5087,831,603
5097,831,604
5107,831,604
5117,832,603
5127,832,604
5137,832,604
5147,832,603
5157,831,602
5167,832,602
5177,832,603
5187,832,603
5197,832,602
5207,832,603
5217,832,604
5227,832,604
5237,833,604
5247,834,605
5257,834,604
5267,835,603
5277,835,601
5287,836,602
5297,837,602
5307,,
5317,,
5327,,
5337,,
5347,837,601
5357,838,603
5367,839,605
5377,840,605
5387,840,606
5397,840,607
5407,839,610
5417,839,611
5427,838,611
5437,836,610
5447,835,609
5457,834,607
5467,833,603
5477,832,597
5487,830,593
5497,829,592
5507,828,590
5517,828,587
5527,828,583
5537,828,581
5547,829,579
5557,828,578
5567,828,578
5577,829,578
5587,829,578
5597,830,578
5607,832,578
5617,832,579
5627,832,580
5637,832,580
5647,832,581
5657,833,581
5667,834,580
5677,834,578
5687,834,577
5697,834,575
5707,834,574
5717,834,571
5727,834,568
5737,834,566
5747,835,563
5757,834,560
5767,834,559
5777,836,558
5787,836,555
5797,837,551
5807,838,551
5817,840,553
5827,843,552
5837,845,550
5847,847,550
5856,848,549
5866,851,546
5876,853,546
5886,854,547
5896,855,544
5906,855,542
5916,856,542
5926,857,543
5936,857,543
5946,858,542
5956,858,541
5966,857,542
5976,857,542
5986,857,540
5996,856,541
6006,856,542
6016,856,541
6026,856,538
6036,856,538
6046,856,538
6056,856,538
6066,856,538
6076,857,537
6086,857,536
6096,857,535
6106,856,533
6116,856,533
6126,856,533
6136,855,532
6146,853,531
6156,852,531
6166,851,531
6176,849,530
6186,847,532
6196,845,532
6206,843,531
6216,840,530
6226,838,529
6236,835,527
6246,833,524
6256,831,522
6266,829,519
6276,827,517
6286,825,514
6296,824,512
6306,823,511
6316,823,510
6326,823,508
6336,823,506
6346,823,505
6356,824,506
6366,827,504
6376,832,501
6386,833,503
6396,834,507
6406,836,508
6416,837,506
6426,837,506
6436,837,506
6446,838,507
6456,838,505
6466,837,505
6476,838,506
6486,839,504
6496,839,502
6506,838,504
6516,839,507
6526,840,510
6536,840,510
6546,839,511
6556,841,513
6566,843,514
6576,842,515
6586,842,518
6596,842,520
6606,842,520
6616,843,519
6626,843,519
6636,842,519
6646,843,516
6656,841,516
6666,840,515
6676,839,513
6686,837,511
6696,835,509
6706,833,508
6716,831,505
6726,828,503
6736,827,502
6746,825,499
6756,823,496
6766,822,494
6776,821,494
6786,820,492
6796,819,489
6806,818,487
6816,818,487
6826,819,485
6836,818,483
6846,820,481
6856,824,480
6866,824,483
6876,827,488
6886,827,487
6896,827,487
6906,828,488
6916,830,489
6926,831,491
6936,832,492
6946,834,494
6956,834,495
6966,834,495
6976,833,493
6986,831,494
6996,831,495
7006,831,494
7016,830,491
7026,829,491
7036,828,492
7046,827,491
7056,827,491
7066,828,492
7076,828,494
7086,828,494
7096,828,494
7106,828,495
7116,829,497
7126,829,497
7136,829,496
7146,830,496
7156,830,496
7166,828,494
7176,828,491
7186,828,491
7196,827,491
7206,825,490
7216,824,489
7226,,
7236,,
7246,823,486
7256,822,487
7266,820,486
7276,819,483
7286,819,482
7296,818,483
7306,817,481
7316,818,478
7326,818,475
7336,818,472
7346,819,471
7356,820,468
7366,821,467
7376,822,467
7386,822,467
7396,824,467
7406,825,467
7416,825,468
7426,825,469
7436,826,471
7446,826,472
7456,826,473
7466,826,473
7476,826,472
7486,827,474
7496,827,475
7506,828,473
7515,828,473
7525,828,476
7535,828,477
7546,828,477
7555,829,477
7565,829,480
7575,829,482
7585,829,482
7595,828,482
7605,828,485
7615,829,485
7625,829,483
7635,830,483
7645,830,485
7655,829,486
7665,828,486
7675,828,487
7685,827,486
7695,826,485
7705,825,483
7715,824,480
7725,824,480
7735,823,480
7745,821,477
7755,821,475
7765,821,472
7775,820,470
7785,821,467
7795,822,466
7805,822,464
7815,821,461
7825,821,457
7835,823,453
7845,825,449
7855,826,444
7865,827,443
7875,831,443
7885,834,443
7895,837,443
7905,839,442
7915,839,446
7925,841,450
7935,843,450
7945,845,451
7955,846,454
7965,847,456
7975,848,457
7985,849,457
7995,848,460
8005,847,465
8015,849,464
8025,849,463
8035,847,465
8045,844,471
8055,844,475
8065,843,476
8075,843,476
8085,842,476
8095,840,477
8105,838,477
8115,837,476
8125,836,474
8135,835,474
8145,833,474
8155,830,472
8165,829,468
8175,827,466
8185,825,464
8195,824,462
8205,824,459
8215,822,457
8225,819,455
8235,818,454
8245,817,452
8255,817,447
8265,817,445
8275,816,445
8285,815,443
8295,814,440
8305,814,438
8315,814,437
8325,816,434
8335,817,432
8345,819,429
8355,821,428
8365,821,428
8375,822,426
8385,825,426
8395,827,426
8405,828,426
8415,828,426
8425,828,429
8435,829,430
8445,830,431
8455,829,432
8465,829,433
8475,828,436
8485,828,436
8495,826,437
8505,825,441
8515,825,445
8525,825,446
8535,823,447
8545,822,452
8555,820,451
8565,817,450
8575,,
8585,,
8595,,
8605,,
8615,817,452
8625,815,455
8635,815,458
8645,814,457
8655,812,455
8665,811,456
8675,810,458
8685,809,456
8695,807,455
8705,805,454
8715,803,452
8725,802,451
8735,800,449
8745,800,447
8755,799,445
8765,798,442
8775,798,440
8785,800,439
8795,801,439
8805,803,438
8815,806,437
8825,808,437
8835,811,436
8845,813,435
8855,815,437
8865,816,440
8875,818,441
8885,821,442
8895,822,444
8905,822,446
8915,823,454
8925,822,465
8935,823,467
8945,825,470
8955,826,470
8965,827,469
8975,827,472
8985,825,477
8995,826,481
9005,826,483
9015,827,485
9025,827,485
9035,828,489
9045,828,494
9055,828,497
9065,828,500
9075,828,503
9085,829,506
9095,828,508
9105,828,510
9115,828,511
9125,827,512
9135,826,511
9145,824,509
9155,823,507
9165,822,505
9175,821,502
9185,819,501
9194,819,497
9204,818,491
9214,818,486
9224,818,483
9234,818,479
9244,818,475
9254,818,472
9264,820,470
9274,821,467
9284,822,462
9294,823,458
9304,823,458
9314,824,456
9324,827,453
9334,829,454
9344,831,456
9354,833,458
9364,833,462
9374,835,461
9384,838,458
9394,839,460
9404,841,461
9414,842,463
9424,843,465
9434,845,467
9444,845,466
9454,846,465
9464,847,464
9474,846,461
9484,845,455
9494,844,458
9504,842,463
9514,841,465
9524,840,466
9534,838,466
9544,836,467
9554,834,469
9564,832,469
9574,831,471
9584,830,473
9594,829,472
9604,829,470
9614,827,467
9624,825,466
9634,822,465
9644,821,465
9654,818,462
9664,816,459
9674,812,459
9684,808,458
9694,807,454
9704,806,449
9714,805,444
9724,805,439
9734,804,436
9744,804,432
9754,803,429
9764,804,425
9774,,
9784,,
9794,,
9804,,
9814,806,422
9824,811,421
9834,816,421
9844,820,421
9854,823,423
9864,825,423
9874,827,423
9884,830,424
9894,831,425
9904,833,427
9914,832,430
9924,832,431
9934,833,434
9944,833,438
9954,833,440
9964,833,441
9974,833,443
9984,833,445
9994,832,446
10004,832,448
10014,831,450
10024,830,450
10034,830,450
10044,830,449
10054,830,449
10064,830,450
10074,,
10084,,
10094,830,449
10104,829,448
10114,829,447
10124,828,446
10134,830,442
10144,831,440
10154,829,439
10164,827,439
10174,,
10184,,
10194,827,439
10204,823,437
10214,821,436
10224,817,437
10234,812,437
10244,807,437
10254,806,433
10264,807,429
10274,806,429
10284,805,428
10294,805,426
10304,807,425
10314,807,425
10324,808,425
10334,810,425
10344,811,426
10354,813,429
10364,813,430
10374,814,432
10384,814,436
10394,814,437
10404,813,438
10414,814,440
10424,812,446
10434,812,447
10444,812,448
10454,812,450
10464,812,452
10474,,
10484,,
10494,812,454
10504,812,454
10514,812,454
10524,811,455
10534,810,457
10544,810,457
10554,809,456
10564,809,454
10574,809,453
10584,808,450
10594,807,447
10604,807,447
10614,807,447
10624,806,446
10634,804,443
10644,804,442
10654,802,443
10664,800,444
10674,797,443
10684,795,442
10694,792,441
10704,789,440
10714,787,438
10724,785,434
10734,786,428
10735,,
10744,784,427
10754,785,427
10764,787,426
10774,788,425
10784,789,425
10794,791,426
10804,793,426
10814,795,427
10824,798,430
10834,804,430
10844,807,427
10854,809,424
10863,812,424
10873,814,426
10883,815,426
10893,817,426
10903,818,426
10913,818,427
10923,818,427
10933,818,428
10943,818,429
10953,818,430
10963,818,430
10973,818,431
10983,818,433
10993,818,432
11003,819,428
11013,818,430
11023,818,433
11033,818,434
11043,818,436
11053,819,438
11063,819,439
11073,817,438
11083,816,438
11093,814,439
11103,813,439
11113,812,439
11123,811,438
11133,808,438
11143,805,439
11153,802,438
11163,801,435
11173,802,434
11183,802,433
11193,801,432
11203,801,432
11213,800,432
11223,799,432
11233,803,431
11243,806,426
11253,807,425
11263,808,424
11273,810,425
11283,811,425
11293,812,426
11303,814,426
11313,817,426
11323,819,427
11333,821,426
11343,823,425
11353,824,424
11363,825,425
11373,828,425
11383,831,426
11393,831,430
11403,832,435
11413,834,436
11423,834,436
11433,834,439
11443,834,445
11453,836,449
11463,836,450
11473,835,453
11483,834,456
11493,834,456
11503,833,455
11513,831,457
11523,829,461
11533,829,460
11543,829,455
11553,828,454
11563,828,454
11573,827,451
11583,826,447
11593,826,444
11603,826,442
11613,825,440
11623,824,436
11633,822,435
11643,821,437
11653,820,436
11663,818,435
11673,817,436
11683,816,438
11693,814,439
11703,812,438
11713,811,437
11723,,
11728,,
11733,,
11743,811,433
11753,811,431
11763,810,426
11773,809,423
11783,809,421
11793,812,419
11803,814,419
11813,816,419
11823,819,419
11833,822,421
11843,824,422
11853,825,423
11863,827,424
11873,829,426
11883,831,426
11893,830,429
11903,830,430
11913,831,431
11923,831,432
11933,830,432
11943,829,434
11953,829,435
11963,829,436
11973,828,436
11983,828,436
11993,828,435
12003,827,434
12013,826,435
12023,825,436
12033,825,437
12043,825,435
12053,824,434
12063,823,435
12073,822,436
12083,820,435
12093,819,435
12103,819,436
12113,818,436
12123,817,436
12133,816,435
12143,814,436
12153,813,437
12163,812,437
12173,811,438
12183,809,439
12193,808,439
12203,805,437
12213,804,435
12223,804,433
12233,803,432
12243,803,428
12253,803,424
12263,803,422
12273,804,420
12283,805,417
12293,807,416
12303,810,416
12313,811,417
12323,812,417
12333,813,419
12343,814,423
12353,816,427
12363,817,427
12373,817,428
12383,818,432
12393,818,436
12403,818,438
12413,819,438
12423,819,439
12433,820,439
12443,821,439
12453,820,439
12463,820,439
12473,820,440
12483,820,438
12493,818,438
12503,816,441
12513,815,443
12523,813,446
12533,813,445
12542,812,444
12552,811,447
12562,809,452
12572,809,452
12582,808,452
12592,806,453
12602,804,453
12612,804,453
12622,804,449
12632,803,448
12642,801,446
12652,801,443
12662,801,438
12672,799,437
12682,797,435
12692,798,431
12702,800,426
12712,800,423
12722,799,422
12732,800,421
12742,802,420
12752,803,419
12762,804,419
12772,807,419
12782,812,420
12792,812,422
12802,811,425
12812,815,426
12822,819,427
12832,821,429
12842,822,431
12852,824,434
12862,825,436
12872,824,436
12882,823,437
12892,823,438
12902,824,439
12912,824,439
12922,822,440
12932,821,442
12942,820,445
12952,820,445
12962,820,448
12972,820,451
12982,819,453
12992,818,454
13002,818,458
13012,817,460
13022,818,460
13032,818,460
13042,816,459
13052,816,458
13062,816,457
13072,814,457
13082,812,458
13092,810,458
13102,807,457
13112,806,456
13122,,
13132,,
13142,809,449
13152,807,448
13162,806,445
13172,806,441
13182,805,437
13192,807,436
13202,808,434
13212,810,428
13222,813,423
13232,816,420
13242,819,417
13252,821,415
13262,823,413
13272,825,412
13282,827,413
13292,829,412
13302,830,412
13312,831,415
13322,832,418
13332,833,420
13342,833,422
13352,834,424
13362,835,427
13372,835,429
13382,836,431
13392,834,432
13402,833,433
13412,832,433
13422,832,433
13432,831,432
13442,831,432
13452,830,433
13462,829,432
13472,829,432
13482,828,433
13492,829,432
13502,829,432
13512,829,432
13522,830,432
13532,830,432
13542,829,430
13552,828,429
13562,828,429
13572,828,427
13582,826,425
13592,826,424
13602,826,423
13612,825,422
13622,823,423
13632,822,425
13642,822,428
13652,821,429
13662,819,432
13672,818,432
13682,816,428
13692,815,425
13702,814,426
13712,815,427
13722,816,424
13732,816,419
13742,817,415
13752,819,411
13762,822,407
13772,824,404
13782,826,403
13792,828,406
13802,829,406
13812,829,405
13822,830,406
13832,831,409
13842,833,413
13852,833,417
13862,834,421
13872,834,423
13882,834,425
13892,834,425
13902,834,425
13912,834,426
13922,834,428
13932,834,427
13942,834,423
13952,832,416
13962,832,416
13972,831,417
13982,829,415
13992,828,411
14002,829,412
14012,828,418
14022,826,418
14032,823,415
14042,821,416
14052,819,417
14062,817,418
14072,816,419
14082,816,420
14092,813,424
14102,811,426
14112,810,426
14122,810,424
14132,807,423
14142,806,424
14152,805,428
14162,803,433
14172,800,432
14182,797,431
14192,795,431
14202,792,430
14211,789,427
14221,786,425
14231,785,424
14241,785,423
14251,783,418
14261,783,418
14271,785,424
14281,785,423
14291,785,420
14301,786,419
14311,788,419
14321,790,417
14331,792,413
14341,795,415
14351,799,422
14361,800,420
14371,800,409
14381,802,410
14391,805,416
14401,806,418
14411,808,418
14421,809,417
14431,810,419
14441,810,420
14451,811,419
14461,812,420
14471,812,422
14481,813,423
14491,814,426
14501,814,426
14511,812,426
14521,812,426
14531,811,425
14541,810,425
14551,809,423
14561,810,424
14571,811,431
14581,810,434
14591,810,434
14601,812,433
14611,812,435
14621,811,434
14631,811,431
14641,811,431
14651,811,435
14661,810,434
14671,809,432
14681,809,431
14691,808,430
14701,806,432
14711,805,432
14721,805,430
14731,804,428
14741,802,427
14751,801,424
14761,801,425
14771,801,426
14781,801,425
14791,801,424
14801,801,423
14811,801,421
14821,803,423
14831,807,431
14841,808,430
14851,807,425
14861,808,424
14871,811,424
14881,815,424
14891,817,425
14901,,
14911,,
14921,,
14931,,
14941,822,426
14951,823,427
14961,826,428
14971,828,428
14981,830,429
14991,831,430
15001,833,432
15011,834,432
15021,834,432
15031,835,431
15041,836,432
15051,835,432
15061,834,432
15071,834,431
15081,835,431
15091,837,430
15101,838,428
15111,840,427
15121,841,426
15131,842,423
15141,845,424
15151,848,429
15161,850,429
15171,854,424
15181,859,420
15191,861,421
15201,862,421
15211,864,418
15221,867,412
15231,870,413
15241,872,413
15251,874,411
15261,876,408
15271,878,408
15281,880,410
15291,880,410
15301,881,412
15311,882,416
15321,883,417
15331,881,418
15341,881,418
15351,881,419
15361,882,422
15371,881,423
15381,881,421
15391,880,418
15401,879,414
15411,879,412
15421,880,414
15431,880,417
15441,881,418
15451,881,419
15461,881,416
15471,881,414
15481,881,415
15491,883,416
15501,885,417
15511,886,420
15521,887,416
15531,889,410
15541,890,409
15551,889,410
15561,889,409
15571,888,409
15581,888,409
15591,886,414
15601,884,416
15611,883,416
15621,880,419
15631,877,422
15641,875,422
15651,875,418
15661,875,419
15671,874,424
15681,873,427
15691,872,427
15701,872,427
15711,872,430
15721,872,431
15731,872,432
15741,872,435
15751,870,441
15761,869,443
15771,868,445
15781,867,446
15791,866,448
15801,864,449
15811,862,449
15821,859,450
15831,857,451
15840,856,451
15850,857,450
15860,858,450
15870,857,449
15880,858,449
15890,859,449
15900,861,450
15910,864,454
15920,866,456
15930,866,457
15940,867,458
15950,867,459
15960,867,460
15970,869,462
15980,869,463
15990,870,464
16000,871,467
16010,872,469
16020,873,470
16030,874,472
16040,875,473
16050,876,475
16060,877,475
16070,876,474
16080,875,474
16090,876,474
16100,875,472
16110,874,471
16120,872,471
16130,871,470
16140,871,467
16150,868,466
16160,865,466
16170,864,466
16180,863,467
16190,,
16200,,
16210,,
16220,,
16230,860,464
16240,858,465
16250,857,464
16260,856,465
16270,854,466
16280,853,468
16290,854,469
16300,854,469
16310,853,468
16320,853,468
16330,854,467
16340,855,467
16350,854,467
16360,854,467
16370,854,467
16380,854,466
16390,854,468
16400,853,467
16410,853,468
16420,853,470
16430,853,471
16440,852,471
16450,853,471
16460,854,471
16470,854,471
16480,854,472
16490,854,472
16500,855,470
16510,856,470
16520,856,470
16530,857,470
16540,859,470
16550,860,470
16560,860,472
16570,861,471
16580,861,471
16590,861,472
16600,862,474
16610,863,474
16620,863,474
16630,863,475
16640,862,478
16650,862,480
16660,862,480
16670,860,479
16680,855,478
16690,849,479
16700,846,481
16710,845,482
16720,843,480
16730,841,479
16740,839,481
16750,838,481
16760,835,481
16770,834,479
16780,834,478
16790,834,475
16800,832,473
16810,831,471
16820,829,470
16830,828,469
16840,826,467
16850,825,465
16860,824,462
16870,819,466
16880,811,473
16890,812,472
16900,812,471
16910,810,472
16920,811,472
16930,809,474
16940,808,474
16950,807,475
16960,805,479
16970,805,479
16980,805,480
16990,806,483
17000,806,484
